idx,bant_submit,business_unit,customer_idx,customer_type,enterprise,historical_existing_cnt,customer_job,lead_desc_length,inquiry_type,product_category,product_subcategory,product_modelname,customer_position,response_corporate,expected_timeline,business_area,business_subarea,lead_owner,is_converted
5596,0.75,ID,20021,Specifier/ Influencer,SMB,,project manager,23,Quotation or Purchase Consultation,,,,none,LGEUS,less than 3 months,,,194,False
40951,0.25,AS,47466,End-Customer,Enterprise,16.0,,23,Quotation or purchase consultation,single-split,,,none,LGESP,,,,23,False
52358,0.25,IT,4620,End Customer,Enterprise,,,28,Quotation or Purchase Consultation,,,,none,LGEUS,,,,436,False
245,0.75,AS,14049,Specifier/ Influencer,SMB,,engineering,381,Quotation or purchase consultation,vrf,,,manager,LGEGF,less than 3 months,corporate / office,Construction,25,False
31367,1.0,ID,19276,End-Customer,SMB,,business development,133,Quotation or Purchase Consultation,standard signage,UHD TV Signage,50UR640S (MEA),director,LGEMS,less than 3 months,corporate / office,Telecommunication,585,True
47833,0.75,AS,31180,Engineer,Enterprise,,engineering,16,,vrf,,,director,LGECB,6 months ~ 9 months,,,39,False
25750,0.75,ID,46468,Channel Partner,Enterprise,,operations,20,Quotation or purchase consultation,standard signage,UH5F Series,55UH5F-B,manager,LGEIL,less than 3 months,retail,Fashion,174,False
13179,0.75,ID,42455,End Customer,SMB,,real estate,67,Quotation or Purchase Consultation,software solution,LG Simple Editor,,c-level executive,LGEUS,less than 3 months,,,159,False
42550,0.5,AS,46909,End-Customer,Enterprise,,engineering,5,Quotation or purchase consultation,rac,,,other,LGEVH,,,,643,False
56918,1.0,ID,18433,End Customer,Enterprise,,accounting,60,Quotation or Purchase Consultation,led signage,LG MAGNIT,LSAB009,ceo/founder,LGEMS,less than 3 months,retail,Car Dealership,188,False
2607,0.5,ID,30688,End-Customer,SMB,,,107,Quotation or Purchase Consultation,,,,none,LGEUS,less than 3 months,,,159,True
54671,0.25,IT,43602,End Customer,SMB,,,35,Quotation or Purchase Consultation,,,,none,LGEUS,,hospital & health care,Others,589,False
15797,0.5,AS,25582,Specifier/ Influencer,SMB,1.0,engineering,61,Quotation or purchase consultation,multi v5 vrf,,,associate/analyst,LGEEF,,,,54,False
58461,0.75,AS,46589,End-Customer,Enterprise,,other,70,Quotation or purchase consultation,vrf,,,partner,LGESP,more than a year,factory,Others,97,False
29630,0.5,AS,25996,End-Customer,SMB,,engineering,83,Trainings,vrf,,,manager,LGESP,,corporate / office,Engineering,646,False
31263,0.75,ID,2928,End-Customer,Enterprise,,accounting,128,Quotation or Purchase Consultation,pro:centric,,,associate/analyst,LGESJ,,corporate / office,Others,153,False
24127,0.25,IT,19159,End Customer,SMB,,,23,Quotation or Purchase Consultation,,,,none,LGEUS,,hospital & health care,Hospital,831,True
57430,1.0,AS,44196,End-Customer,Enterprise,,administrative,79,Quotation or purchase consultation,multi-split,,,ceo/founder,LGEMS,less than 3 months,retail,Other Stores,42,False
12979,0.25,ID,5835,End Customer,SMB,,other,410,Quotation or Purchase Consultation,led signage,LED Cinema,LAD033F,none,LGEUK,,,,185,False
31517,1.0,IT,37706,End-Customer,SMB,,it/software,252,Quotation or Purchase Consultation,,All Monitors,,c-level executive,LGEDG,less than 3 months,corporate / office,,392,False
32362,1.0,ID,32944,End-Customer,SMB,,entrepreneurship,66,Quotation or Purchase Consultation,hotel tv,,,partner,LGESP,less than 3 months,,,487,False
54931,0.25,IT,44099,End Customer,SMB,,,3,Quotation or Purchase Consultation,,,,none,LGEUS,,hospital & health care,Hospital,435,False
2831,0.75,ID,28509,End-Customer,SMB,,media and communication,8,Technical Consultation,standard signage,,,other,LGEIL,,,,174,False
57468,1.0,AS,21082,End Customer,Enterprise,,purchasing,73,Quotation or Purchase Consultation,etc.,,,manager,LGESP,more than a year,retail,Other Stores,97,False
42483,0.25,AS,47466,End-Customer,Enterprise,3.0,,24,Quotation or purchase consultation,heating,,,none,LGETK,,,,103,False
21071,0.75,IT,35567,End-Customer,Enterprise,,sales,210,Quotation or Purchase Consultation,monitor,,,director,LGEUK,,,,426,False
36025,1.0,AS,17662,End-Customer,Enterprise,,administrative,35,Product Information,single-split,,,ceo/founder,LGESP,less than 3 months,,,97,False
46835,0.5,AS,47466,End Customer,Enterprise,16.0,,69,Quotation or Purchase Consultation,multi-split,,,none,LGECB,less than 3 months,,,39,False
55169,1.0,AS,30405,Specifier/ Influencer,Enterprise,,entrepreneurship,311,Quotation or purchase consultation,vrf,,,partner,LGESP,more than a year,residential (home),Others,97,False
12927,0.25,ID,32701,End Customer,Enterprise,17.0,information technology,19,Quotation or Purchase Consultation,video wall signage,LV35A Series,,none,LGEGF,,,,319,False
31651,0.75,ID,30941,End-Customer,SMB,,information technology,331,Quotation or purchase consultation,hotel tv,US662H Series,50US662H (EU),manager,LGEES,,,,262,True
240,0.75,AS,4357,End-Customer,SMB,,business development,171,Quotation or purchase consultation,single-split,,,director,LGEAP,less than 3 months,corporate / office,Engineering,98,False
12717,0.75,ID,7583,End-Customer,SMB,,,334,Quotation or Purchase Consultation,,,,none,LGEUS,3 months ~ 6 months,,,335,True
1460,0.75,ID,28447,End Customer,SMB,,operations,314,Quotation or Purchase Consultation,led signage,,,ceo/founder,LGEUK,less than 3 months,corporate / office,Construction,185,False
44832,1.0,AS,17919,Specifier/ Influencer,Enterprise,,program and project management,40,Usage or Technical Consultation,ventilation,,,manager,LGEPR,3 months ~ 6 months,,,125,False
56343,0.75,ID,23388,Service Partner,Enterprise,,administrative,92,Quotation or Purchase Consultation,hospital tv,Smart Touch Screen TV,15LS766F (NA),director,LGESP,,retail,Other Stores,382,False
52535,0.5,ID,43474,End-Customer,SMB,,engineering,341,Quotation or Purchase Consultation,oled signage,,,associate/analyst,LGESP,,special purpose,Others,480,True
45713,1.0,AS,18663,End Customer,SMB,,operations,124,Quotation or Purchase Consultation,chiller,,,manager,LGECL,less than 3 months,,,124,False
18692,0.5,AS,18315,Channel Partner,SMB,29.0,sales,24,Quotation or purchase consultation,vrf,,,manager,LGESL,,,,109,False
19575,0.25,AS,47466,End Customer,Enterprise,19.0,,206,Quotation or Purchase Consultation,multi-split,,,none,LGEIL,,,,115,False
54166,0.25,IT,46378,End Customer,SMB,0.0,,3,Quotation or Purchase Consultation,,,,none,LGEUS,,education,Higher Education (College & University),435,False
58135,0.25,ID,7740,End Customer,SMB,31.0,,3,Quotation or Purchase Consultation,,,,none,LGEUS,,hotel & accommodation,Cruise,570,True
10852,0.5,ID,20605,End-Customer,SMB,,information technology,54,Quotation or purchase consultation,interactive signage,,,none,LGEUK,less than 3 months,,,185,False
1364,1.0,ID,35408,End Customer,SMB,,research,463,Technical Consultation,led signage,LG LED All-in-One Smart Series,LAEC015-GN2,manager,LGEUK,less than 3 months,corporate / office,Pharmaceutical,185,False
18715,0.5,AS,23957,Specifier/ Influencer,SMB,53.0,other,1,Sales Inquiry,,,,director,LGESL,,,,659,False
28495,0.75,ID,21388,End-Customer,SMB,,information technology,132,Quotation or purchase consultation,led signage,,,none,LGESL,less than 3 months,factory,,198,False
57722,0.25,ID,18747,End Customer,Enterprise,,,23,,,,,manager,LGESP,,hotel & accommodation,Hotel,488,True
26823,1.0,IT,35306,Channel Partner,Enterprise,,purchasing,280,Request for Distributorship,laptop,,,other,LGEIL,less than 3 months,retail,,423,False
3036,0.75,ID,23074,End-Customer,SMB,,owner,17,Quotation or Purchase Consultation,,,,none,LGEUS,less than 3 months,,,194,False
20999,0.25,IT,35135,End-Customer,Enterprise,,,14,Quotation or Purchase Consultation,,,,none,LGEIS,,,,422,False
1386,1.0,ID,3799,Specifier/ Influencer,SMB,,administrative,96,Quotation or purchase consultation,video wall signage,,,manager,LGESJ,less than 3 months,corporate / office,Advertising,153,False
18829,1.0,AS,15175,End Customer,Enterprise,,others,82,Quotation or Purchase Consultation,multi-split,,,partner,LGEIL,less than 3 months,,,9,False
1552,1.0,ID,12575,Channel Partner,SMB,122.0,sales,15,Quotation or Purchase Consultation,led signage,Outdoor Versatile Series,,other,LGEAR,less than 3 months,corporate / office,Advertising,345,False
31457,0.75,ID,13934,Channel Partner,SMB,,consulting,3,Quotation or Purchase Consultation,oled signage,Transparent OLED Signage,55EW5G-A,none,LGEUS,3 months ~ 6 months,corporate / office,,335,True
56309,1.0,ID,16561,End-Customer,Enterprise,,arts and design,33,Quotation or Purchase Consultation,oled signage,,,ceo/founder,LGECB,less than 3 months,retail,,344,False
31209,0.25,ID,34295,End-Customer,SMB,,computing & it,3,Quotation or Purchase Consultation,,,,none,LGEUS,,corporate / office,,194,False
11059,0.75,ID,29874,End-Customer,SMB,2.0,engineering,75,Quotation or Purchase Consultation,pro:centric,Pro:Centric Direct,,associate/analyst,LGEUS,more than a year,,,194,False
15561,0.5,AS,47466,Specifier/ Influencer,Enterprise,115.0,,32,Sales Inquiry,single split,,,none,LGEPH,more than a year,,,46,False
35270,0.75,ID,340,End Customer,Enterprise,16.0,,3,Quotation or Purchase Consultation,,,,none,LGEUS,less than 3 months,,,205,False
3248,1.0,ID,34113,Service Partner,Enterprise,,administrative,41,Quotation or Purchase Consultation,interactive signage,Touch Open Frame,55TNF5J,partner,LGEIL,less than 3 months,,,174,False
34866,0.5,ID,13460,Channel Partner,SMB,,,3,Quotation or Purchase Consultation,,,,none,LGEUS,3 months ~ 6 months,,,194,False
46660,0.25,AS,47466,End-Customer,Enterprise,16.0,,78,Quotation or purchase consultation,single-split,,,none,LGECL,,,,124,False
12454,0.75,ID,31089,Specifier/ Influencer,SMB,,,216,Quotation or Purchase Consultation,,,,none,LGEUS,less than 3 months,,,370,False
22361,0.75,ID,37115,End Customer,Enterprise,,sales,289,Quotation or Purchase Consultation,oled signage,,,associate/analyst,LGEML,3 months ~ 6 months,special purpose,Others,249,False
42428,0.5,AS,43164,End-Customer,SMB,,purchasing,65,Quotation or purchase consultation,vrf,,,other,LGETK,,,,103,False
52476,0.25,IT,34174,End Customer,SMB,,,3,Quotation or Purchase Consultation,,,,none,LGEUS,,,,437,True
38076,0.75,AS,4316,End-Customer,SMB,,purchasing,364,Quotation or purchase consultation,ar condicionado residencial,,,associate/analyst,LGESP,less than 3 months,,,23,False
23243,0.75,ID,11189,End-Customer,Enterprise,,information technology,13,Quotation or purchase consultation,video wall signage,0.44mm Even Bezel Video Wall,55SVH7F,other,LGEIL,less than 3 months,education,,174,False
12214,1.0,ID,19403,End Customer,Enterprise,,program and project management,87,Quotation or Purchase Consultation,standard signage,,,manager,LGEIL,less than 3 months,,,174,False
13188,0.75,ID,8021,End-Customer,SMB,,engineering,261,Quotation or purchase consultation,led signage,Premium Slim Series,LBS083DA4-V,manager,LGESJ,3 months ~ 6 months,,,209,False
54940,0.5,IT,10958,End-Customer,SMB,,,3,Quotation or Purchase Consultation,,,,decision-influencer,LGEUS,,hospital & health care,Others,374,False
23809,1.0,ID,38690,Specifier/ Influencer,SMB,,arts and design,205,Quotation or Purchase Consultation,led signage,Ultra Slim Series,LSCB015,associate/analyst,LGEUS,9 months ~ 1 year,hospital & health care,Clinic,328,False
21025,0.75,IT,986,End Customer,SMB,,,178,Quotation or Purchase Consultation,,,,none,LGEUS,less than 3 months,,,360,True
57674,0.5,IT,27149,End-Customer,Enterprise,,sales,480,Quotation or Purchase Consultation,monitor,,,none,LGEPL,,retail,Other Stores,520,False
35252,1.0,ID,31664,Specifier/ Influencer,SMB,,operations,208,Quotation or Purchase Consultation,video wall signage,"55"" 500 nits FHD Slim Bezel Video Wall",55VL5PJ,intern,LGEAR,less than 3 months,,,345,False
53861,1.0,ID,3801,End-Customer,Enterprise,,accounting,97,Quotation or Purchase Consultation,interactive signage,,,other,LGEPR,9 months ~ 1 year,education,Higher Education (College & University),1096,False
11404,0.5,ID,9652,Channel Partner,SMB,1.0,,111,Quotation or Purchase Consultation,,,,none,LGEUS,less than 3 months,,,194,False
12840,0.75,ID,18377,Service Partner,SMB,,engineering,76,Quotation or Purchase Consultation,led signage,,,none,LGEUK,less than 3 months,,,185,False
54645,0.25,IT,8841,End Customer,Enterprise,0.0,,35,Quotation or Purchase Consultation,,,,none,LGEUS,,hospital & health care,Others,589,True
3150,0.75,ID,28743,Channel Partner,SMB,,ordering manager,137,Quotation or Purchase Consultation,,,,none,LGEUS,less than 3 months,,,194,False
14153,0.75,AS,34419,Specifier/ Influencer,Enterprise,13.0,real estate,53,Quotation or purchase consultation,single-split,,,partner,LGEIL,,,,36,False
10239,0.25,ID,39439,End-Customer,SMB,,purchasing,22,Quotation or Purchase Consultation,hotel tv,4K UHD Smart TV,65UQ801C (INDIA),none,LGEIL,,,,174,False
31348,1.0,ID,22201,End Customer,Enterprise,,business development,143,Quotation or Purchase Consultation,one:quick series,One:Quick Flex,43HT3WJ,ceo/founder,LGECL,less than 3 months,corporate / office,Construction,580,False
59178,1.0,AS,15488,End-Customer,Enterprise,,purchasing,205,Quotation or purchase consultation,multi-split,,,ceo/founder,LGESP,9 months ~ 1 year,public facility,Others,97,False
24139,0.25,IT,8630,End Customer,SMB,,,51,Quotation or Purchase Consultation,,,,none,LGEUS,,hospital & health care,Hospital,438,True
52295,0.25,IT,8515,End Customer,Enterprise,,,28,Quotation or Purchase Consultation,,,,none,LGEUS,,,,436,False
14197,1.0,AS,23011,End-Customer,Enterprise,,engineering,181,Quotation or purchase consultation,etc.,,,manager,LGEPH,less than 3 months,,,121,False
54960,1.0,ID,45998,End-Customer,Enterprise,,entrepreneurship,248,Quotation or Purchase Consultation,led signage,LG LED All-in-One Smart Series,LAEC015,ceo/founder,LGESP,3 months ~ 6 months,residential (home),Apartment,487,True
51899,0.75,IT,19739,End Customer,SMB,,,109,Quotation or Purchase Consultation,,Surgical Monitors,,none,LGEDG,less than 3 months,,,838,False
10804,0.75,ID,45655,Channel Partner,SMB,1.0,sales,305,Quotation or purchase consultation,video wall signage,SVH7F Series,55SVH7F-A,manager,LGEUK,3 months ~ 6 months,,,185,False
44066,0.5,AS,47009,Specifier/ Influencer,Enterprise,,military and protective services,260,Quotation or purchase consultation,etc.,,,ceo/founder,LGEYK,,,,107,False
19378,0.75,AS,42750,End Customer,Enterprise,,others,10,Quotation or Purchase Consultation,single-split,,,ceo/founder,LGEIL,less than 3 months,,,22,False
35248,1.0,ID,20045,End Customer,SMB,,administrative,126,Quotation or Purchase Consultation,hotel tv,4K UHD Hospitality TV with Pro:Centric Direct,,director,LGEMS,6 months ~ 9 months,,,585,True
30316,1.0,ID,15139,End-Customer,Enterprise,,administrative,69,Quotation or Purchase Consultation,high brightness signage,Open Frame,49XF3E-B,ceo/founder,LGEPR,less than 3 months,corporate / office,Mining,972,False
56340,1.0,ID,30757,End-Customer,SMB,,operations,212,Quotation or Purchase Consultation,led signage,,,entry level,LGESP,less than 3 months,retail,Fashion,279,False
58746,0.25,ID,3498,End-Customer,SMB,,general management,3,Quotation or Purchase Consultation,,,,none,LGEUS,,factory,,194,False
28158,1.0,AS,37388,Specifier/ Influencer,SMB,,engineering,265,Other,vrf,,,other,LGEUS,9 months ~ 1 year,hotel & accommodation,Resort,27,False
22656,1.0,IT,1993,End-Customer,Enterprise,,other,218,Request a Demo,,IPS Monitors,,ceo/founder,LGEUK,less than 3 months,special purpose,Others,426,False
34646,0.5,ID,44332,End-Customer,Enterprise,16.0,,3,Quotation or Purchase Consultation,,,,none,LGEUS,less than 3 months,,,194,False
54160,1.0,IT,46230,End Customer,SMB,,higher education (college & university),664,Quotation or Purchase Consultation,,Monitors for graphics applications & video editing,,entry level,LGEDG,less than 3 months,education,,392,False
54324,0.5,ID,9373,End-Customer,Enterprise,,administrative,16,Quotation or Purchase Consultation,interactive signage,,,cargo,LGECB,,hospital & health care,,344,False
35607,0.75,AS,36370,End-Customer,Enterprise,7.0,community and social services,15,Quotation or purchase consultation,vrf,,,director,LGEIL,,,,600,True
54392,1.0,IT,32328,Service Partner,Enterprise,,consulting,3,Request a Demo,,All Projectors,,partner,LGESA,more than a year,hospital & health care,Clinic,409,False
18411,0.5,AS,47466,End-Customer,Enterprise,11.0,other,111,Quotation or purchase consultation,heating,,,other,LGEUS,,,,27,False
11631,0.5,ID,13459,Specifier/ Influencer,SMB,,quoting project,145,Quotation or Purchase Consultation,,,,none,LGEUS,3 months ~ 6 months,,,194,False
56923,1.0,ID,13756,Service Partner,SMB,,sales,37,Quotation or Purchase Consultation,video wall signage,"55"" 700 nits FHD 0.44mm Even Bezel Video Wall",55VSH7J,other,LGEPR,less than 3 months,retail,Other Stores,1103,False
46898,0.5,AS,46908,Specifier/ Influencer,Enterprise,,sales,56,Quotation or purchase consultation,rac,,,other,LGEVH,,,,1015,False
55878,1.0,AS,14207,End-Customer,SMB,0.0,administrative,142,Quotation or Purchase Consultation,rac,,,ceo/founder,LGESP,more than a year,residential (home),Villa / Single-Family Home,97,False
11640,0.5,ID,5955,End-Customer,SMB,,,118,Quotation or purchase consultation,,,,none,LGEUS,6 months ~ 9 months,,,194,False
12733,1.0,ID,18332,End Customer,Enterprise,,operations,320,Quotation or Purchase Consultation,video wall signage,"49"" 500 nits FHD Slim Bezel Video Wall",49VL5G,partner,LGEUS,less than 3 months,,,329,False
51742,0.25,IT,21753,Channel Partner,SMB,,,149,Quotation or Purchase Consultation,,,,none,LGEIS,,,,251,False
32425,0.75,ID,6448,End-Customer,SMB,,,3,Quotation or Purchase Consultation,,,,none,LGEUS,less than 3 months,,,194,False
29966,0.75,AS,13518,Specifier/ Influencer,SMB,,administrative,18,,vrf,,,ceo/founder,LGECB,less than 3 months,corporate / office,Engineering,39,False
55771,1.0,AS,26075,End Customer,SMB,,program and project management,19,Usage or Technical Consultation,multi-split,,,associate/analyst,LGEPR,3 months ~ 6 months,residential (home),Apartment,125,False
21792,0.75,ID,43834,End-Customer,Enterprise,,sales,125,Quotation or purchase consultation,high brightness signage,Outdoor Display,22XE1J-B,ceo/founder,LGEUS,,special purpose,Others,194,False
24365,1.0,AS,46688,End-Customer,SMB,0.0,administrative,150,Quotation or purchase consultation,etc.,,,ceo/founder,LGEUS,less than 3 months,residential (home),Villa / Single-Family Home,27,False
11509,0.5,ID,18398,Channel Partner,SMB,,owner,172,Quotation or Purchase Consultation,,,,none,LGEUS,less than 3 months,,,194,False
19091,0.75,AS,21883,Specifier/ Influencer,Enterprise,,operations,7,Product Information,vrf,,,entry level,LGEPR,,,,125,False
44903,1.0,AS,22680,Specifier/ Influencer,Enterprise,,engineering,27,Trainings,vrf,,,associate/analyst,LGEPR,more than a year,,,741,False
30987,0.5,ID,21321,End-Customer,Enterprise,,administrative,3,Quotation or Purchase Consultation,,,,intern,LGECB,,corporate / office,,495,False
23496,1.0,ID,42219,End-Customer,SMB,,education,502,Quotation or purchase consultation,led signage,,,other,LGEUK,less than 3 months,education,,185,False
46845,0.5,AS,47466,End Customer,Enterprise,16.0,,39,Quotation or Purchase Consultation,etc.,,,none,LGECB,less than 3 months,,,39,False
41881,0.5,AS,26962,Specifier/ Influencer,Enterprise,,engineering,198,Quotation or purchase consultation,rac,,,ceo/founder,LGEPL,,,,694,False
45990,0.5,AS,25779,End Customer,Enterprise,,sales,18,Quotation or Purchase Consultation,single-split,,,entry level,LGESP,,,,97,False
41185,0.5,AS,6604,End-Customer,Enterprise,,operations,45,Quotation or purchase consultation,vrf,,,intern,LGESP,,,,23,False
29022,1.0,AS,17427,Specifier/ Influencer,SMB,,engineering,419,Quotation or Purchase Consultation,vrf,,,manager,LGEIL,less than 3 months,transportation,Railway & Metro Station,128,True
19185,1.0,AS,38615,Specifier/ Influencer,Enterprise,,operations,2,Product Information,vrf,,,manager,LGEMS,more than a year,,,42,False
45643,1.0,AS,21321,Technician,Enterprise,,other,3,Quotation or purchase consultation,ventilation,,,other,LGEPR,3 months ~ 6 months,,,125,False
22846,1.0,ID,2403,Channel Partner,SMB,,sales,331,Quotation or purchase consultation,interactive signage,,,manager,LGEGF,less than 3 months,education,Higher Education (College & University),153,False
47305,0.25,AS,37085,Installer/Contractor,Enterprise,,,166,Quotation or Purchase Consultation,,,,none,LGEIS,,,,341,False
18780,1.0,AS,28178,End Customer,Enterprise,,operations,21,Quotation or Purchase Consultation,single-split,,,vice president,LGEPH,3 months ~ 6 months,,,121,False
2373,0.75,ID,8980,End-Customer,SMB,,other,63,Quotation or purchase consultation,hotel tv,LU640H Series,32LU640S,director,LGEIL,less than 3 months,,,147,True
16696,0.25,AS,47466,End-Customer,Enterprise,19.0,,19,Quotation or purchase consultation,etc.,,,none,LGEIL,,,,48,False
56789,0.5,ID,24480,End-user,Enterprise,,marketing,51,Quotation or purchase consultation,accessories,webOS Box,WP400,associate/analyst,LGEMS,,retail,Electronics & Telco,203,False
51211,0.75,IT,41105,End-Customer,SMB,,information technology,31,Quotation or Purchase Consultation,,All Medical Display,,ceo/founder,LGEDG,less than 3 months,,,838,False
56566,0.5,ID,37641,End-Customer,SMB,1.0,sales,69,Quotation or Purchase Consultation,,,,director,LGESP,,retail,,279,False
55812,1.0,AS,26831,End Customer,SMB,1.0,others,3,Media Inquiry,multi-split,,,ceo/founder,LGEMS,3 months ~ 6 months,residential (home),,42,False
54190,1.0,AS,9283,End-Customer,SMB,,operations,58,Quotation or purchase consultation,etc.,,,manager,LGESP,more than a year,hospital & health care,Clinic,488,False
32365,1.0,ID,32077,End-Customer,SMB,,other,20,Quotation or purchase consultation,hospital tv,LT662M series,,partner,LGECL,less than 3 months,,,357,False
52353,0.25,IT,11878,Channel Partner,Enterprise,1.0,,28,Quotation or Purchase Consultation,,,,none,LGEUS,,,,436,False
58840,1.0,ID,31073,End-Customer,Enterprise,,engineering,35,Quotation or purchase consultation,standard signage,UH5F-H Series,55UH5F-H,intern,LGECL,6 months ~ 9 months,power plant / renewable energy,Others,580,False
53119,0.5,AS,9074,Specifier/ Influencer,SMB,,sales,118,Quotation or purchase consultation,vrf,,,associate/analyst,LGESP,,special purpose,Others,38,False
24386,1.0,AS,7143,End-Customer,Enterprise,,other,45,Quotation or Purchase Consultation,multi-split,,,other,LGEIL,6 months ~ 9 months,residential (home),,21,False
45885,0.25,AS,47466,End Customer,Enterprise,19.0,,3,Quotation or Purchase Consultation,,,,none,LGEIL,,,,115,False
15456,0.25,AS,47466,End-Customer,Enterprise,115.0,,27,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,46,False
31100,0.75,ID,14684,End-Customer,SMB,,administrative,393,Quotation or Purchase Consultation,oled signage,Transparent OLED Touch Signage,55EW5TK-A,other,LGEAR,less than 3 months,corporate / office,Others,345,False
2750,0.75,ID,39369,Channel Partner,Enterprise,,system installer,345,Quotation or Purchase Consultation,,,,none,LGEUS,less than 3 months,,,194,False
35264,0.75,ID,2726,End-Customer,Enterprise,,,3,Quotation or Purchase Consultation,,,,none,LGEUS,less than 3 months,,,205,False
34876,0.5,ID,42796,Channel Partner,SMB,2.0,purchasing manager,3,Quotation or Purchase Consultation,,,,none,LGEUS,3 months ~ 6 months,,,194,False
58528,1.0,AS,33913,End Customer,Enterprise,,engineering,81,Quotation or Purchase Consultation,vrf,,,manager,LGEIN,3 months ~ 6 months,factory,Manufacturing Factory / Plant,658,False
1273,1.0,ID,14642,End Customer,SMB,,consulting,61,Quotation or Purchase Consultation,interactive signage,Built-in Touch Signage,,manager,LGEIL,less than 3 months,corporate / office,Advertising,174,False
55717,1.0,AS,16430,End-Customer,Enterprise,,purchasing,249,Quotation or purchase consultation,rac,,,director,LGESP,less than 3 months,residential (home),Others,97,False
31527,0.75,IT,14649,End-Customer,SMB,,energy,215,Quotation or Purchase Consultation,,,,none,LGEDG,less than 3 months,corporate / office,,385,False
37394,0.25,AS,43944,End-Customer,Enterprise,,other,3,Quotation or purchase consultation,,,,none,LGEIL,,,,21,False
19636,0.25,AS,47466,End Customer,Enterprise,19.0,,60,Quotation or Purchase Consultation,multi-split,,,none,LGEIL,,,,115,False
2988,0.75,ID,10652,End-Customer,Enterprise,7.0,,46,Quotation or Purchase Consultation,,,,none,LGEUS,less than 3 months,,,194,False
23954,0.25,IT,8194,End Customer,SMB,,,71,Quotation or Purchase Consultation,,,,none,LGEUS,,hospital & health care,Hospital,575,False
14222,0.75,AS,22457,End-Customer,SMB,,business development,90,Quotation or purchase consultation,single-split,,,manager,LGEIL,,,,88,False
48379,0.75,IT,35015,End-Customer,SMB,,,156,Quotation or Purchase Consultation,,,,none,LGEDG,less than 3 months,,,392,False
22235,0.75,ID,27331,Channel Partner,SMB,,business development,237,Request for Partnership,standard signage,,,none,LGETK,more than a year,special purpose,,285,False
1581,1.0,IT,40236,End-Customer,SMB,,consulting,322,Quotation or Purchase Consultation,pc,,,associate/analyst,LGESL,less than 3 months,corporate / office,Consulting,395,False
12797,0.75,ID,3712,Channel Partner,Enterprise,,sales,303,Quotation or purchase consultation,video wall signage,,,manager,LGESJ,,,,295,False
15582,0.25,AS,47466,End-Customer,Enterprise,115.0,,107,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,46,False
15897,0.5,AS,26293,Specifier/ Influencer,Enterprise,,accounting,521,Quotation or purchase consultation,single-split,,,manager,LGEIL,,,,90,False
56335,1.0,ID,35773,End-Customer,Enterprise,,sales,142,Quotation or Purchase Consultation,video wall signage,"49"" 500 nits FHD Slim Bezel Video Wall",49VL5G-M,ceo/founder,LGESP,less than 3 months,retail,Other Stores,167,False
52219,0.25,IT,45319,End Customer,Enterprise,0.0,,3,Quotation or Purchase Consultation,,,,none,LGEUS,,,,375,True
13182,0.75,ID,11724,Specifier/ Influencer,SMB,,engineering,93,Quotation or purchase consultation,oled signage,Transparent OLED Signage,,partner,LGEUS,less than 3 months,,,352,False
1472,0.75,ID,4948,End Customer,Enterprise,,business development,64,Quotation or Purchase Consultation,led signage,Transparent LED Film,LAT140,entry level,LGEEG,3 months ~ 6 months,corporate / office,Engineering,234,False
19959,0.5,AS,47466,End Customer,Enterprise,16.0,,48,Quotation or Purchase Consultation,multi-split,,,none,LGEAR,less than 3 months,,,763,False
34822,0.5,ID,33535,Channel Partner,SMB,,project head,3,Quotation or purchase consultation,,,,none,LGEUS,less than 3 months,,,194,False
26544,1.0,AS,24032,End-Customer,SMB,,sales,113,Quotation or purchase consultation,vrf,,,manager,LGESL,more than a year,retail,Other Stores,109,False
22209,0.75,ID,16460,Service Partner,SMB,,administrative,300,Quotation or Purchase Consultation,oled signage,Transparent OLED Signage,55EW5PG-S,vice president,LGEUS,less than 3 months,special purpose,Mixed-use (Multi Complex),330,True
46889,0.5,AS,11238,Specifier/ Influencer,Enterprise,,engineering,13,Quotation or purchase consultation,rac,,,other,LGEVH,,,,1015,False
33195,1.0,ID,13154,Channel Partner,Enterprise,,marketing,65,Quotation or Purchase Consultation,standard signage,Full HD Standard Signage,32SM5J-B,partner,LGEMS,6 months ~ 9 months,,,263,False
3328,0.75,ID,29640,End-Customer,Enterprise,,manager,138,Quotation or Purchase Consultation,,,,none,LGEUS,less than 3 months,,,194,False
46827,0.5,AS,47466,End Customer,Enterprise,16.0,,55,Quotation or Purchase Consultation,multi-split,,,none,LGECB,less than 3 months,,,39,False
56106,1.0,ID,17901,End Customer,Enterprise,,engineering,175,Quotation or Purchase Consultation,oled signage,OLED Pro Monitor,65EP5G,entry level,LGECL,less than 3 months,government department,General Government Office,580,False
23764,1.0,AS,42099,End Customer,Enterprise,,administrative,98,Quotation or Purchase Consultation,vrf,,,manager,LGEPH,9 months ~ 1 year,hospital & health care,Hospital,120,True
19520,0.25,AS,47466,End Customer,Enterprise,19.0,,36,Quotation or Purchase Consultation,multi-split,,,none,LGEIL,,,,115,False
1529,0.5,ID,8728,End-Customer,SMB,,purchasing,469,Quotation or purchase consultation,led signage,LG LED All-in-One Smart Series,LAEC015,entry level,LGESL,,corporate / office,Others,298,False
