bant_submit,business_unit,customer_idx,customer_type,enterprise,historical_existing_cnt,customer_job,lead_desc_length,inquiry_type,product_category,product_subcategory,product_modelname,customer_position,response_corporate,expected_timeline,business_area,business_subarea,lead_owner,is_converted
0.5,AS,23180,Specifier/ Influencer,Enterprise,,engineering,49,Product Information,single-split,,,entry level,LGEPH,,,,0,False
0.75,AS,42654,End-Customer,Enterprise,,,18,Sales Inquiry,etc.,,,entry level,LGEPH,more than a year,,,29,False
0.5,AS,35041,Specifier/ Influencer,SMB,,engineering,3,Quotation or purchase consultation,,,,other,LGEPH,,,,16,False
0.5,AS,9546,End-Customer,SMB,,engineering,11,Quotation or purchase consultation,etc.,,,other,LGEPH,,,,121,False
0.5,AS,13002,Specifier/ Influencer,Enterprise,9.0,engineering,4,Quotation or purchase consultation,vrf,,,other,LGEPH,,,,15,False
0.5,AS,16278,End-Customer,Enterprise,,engineering,7,Quotation or purchase consultation,multi-split,,,other,LGEPH,,,,0,False
0.5,AS,36058,End-Customer,Enterprise,,engineering,12,Quotation or purchase consultation,single-split,,,other,LGEPH,,,,599,False
0.5,AS,36058,End-Customer,Enterprise,,engineering,12,Quotation or purchase consultation,single-split,,,other,LGEPH,,,,599,False
0.5,AS,25309,End-Customer,Enterprise,115.0,engineering,2,Quotation or purchase consultation,vrf,,,other,LGEPH,,,,46,False
0.5,AS,16277,End-Customer,Enterprise,,engineering,26,Quotation or purchase consultation,vrf,,,other,LGEPH,,,,0,False
0.5,AS,27735,Homeowner,SMB,0.0,engineering,12,Quotation or purchase consultation,single-split,,,other,LGEPH,,,,0,False
0.5,AS,27737,Specifier/ Influencer,SMB,0.0,engineering,65,Quotation or purchase consultation,vrf,,,other,LGEPH,,,,0,False
0.5,AS,27737,End-Customer,SMB,0.0,engineering,4,Quotation or purchase consultation,vrf,,,other,LGEPH,,,,0,False
0.5,AS,38893,End-Customer,Enterprise,,engineering,4,Quotation or purchase consultation,etc.,,,other,LGEPH,,,,0,False
0.5,AS,19514,End-Customer,Enterprise,,engineering,19,Quotation or purchase consultation,vrf,,,other,LGEPH,,,,0,False
0.5,AS,29449,End-Customer,Enterprise,,engineering,23,Quotation or purchase consultation,single-split,,,other,LGEPH,,,,0,False
0.5,AS,44265,End-Customer,SMB,,education,13,Quotation or purchase consultation,etc.,,,other,LGEPH,,,,16,False
0.5,AS,8937,End-Customer,Enterprise,0.0,other,15,Quotation or purchase consultation,etc.,,,other,LGEPH,,,,83,False
0.5,AS,13850,End-Customer,Enterprise,,other,13,Quotation or purchase consultation,single-split,,,other,LGEPH,,,,0,False
0.5,AS,41860,End-Customer,Enterprise,,sales,43,Quotation or purchase consultation,vrf,,,other,LGEPH,,,,15,False
0.5,AS,28442,End-Customer,Enterprise,,sales,4,Quotation or purchase consultation,single-split,,,other,LGEPH,,,,75,False
0.5,AS,4025,End-Customer,SMB,,sales,18,Quotation or purchase consultation,vrf,,,other,LGEPH,,,,0,False
0.5,AS,16277,End-Customer,Enterprise,,consulting,26,Quotation or purchase consultation,vrf,,,other,LGEPH,,,,0,False
0.5,AS,16279,Specifier/ Influencer,Enterprise,,consulting,14,Quotation or purchase consultation,vrf,,,other,LGEPH,,,,0,False
0.5,AS,16279,Specifier/ Influencer,Enterprise,,consulting,10,Quotation or purchase consultation,vrf,,,other,LGEPH,,,,0,False
0.5,AS,13002,Specifier/ Influencer,Enterprise,9.0,engineering,12,Sales Inquiry,vrf,,,other,LGEPH,,,,0,False
0.5,AS,39542,End-Customer,SMB,,engineering,88,Sales Inquiry,vrf,,,other,LGEPH,,,,0,False
0.5,AS,22799,Specifier/ Influencer,SMB,,engineering,18,Sales Inquiry,vrf,,,other,LGEPH,,,,0,False
0.5,AS,16590,Specifier/ Influencer,Enterprise,,engineering,5,Sales Inquiry,chiller,,,other,LGEPH,,,,29,False
0.5,AS,34813,End-Customer,Enterprise,,business development,16,Sales Inquiry,single-split,,,other,LGEPH,,,,29,False
0.5,AS,34813,End-Customer,Enterprise,,business development,16,Sales Inquiry,single-split,,,other,LGEPH,,,,16,False
0.5,AS,34813,End-Customer,Enterprise,,business development,16,Sales Inquiry,single-split,,,other,LGEPH,,,,16,False
0.5,AS,4354,End-Customer,Enterprise,,purchasing,630,Quotation or purchase consultation,single-split,,,other,LGEPH,,,,59,False
0.5,AS,47466,End-Customer,Enterprise,115.0,other,3,Quotation or purchase consultation,etc.,,,other,LGEPH,,,,29,False
0.5,AS,35544,End-Customer,Enterprise,,other,206,Quotation or purchase consultation,multi-split,,,other,LGEPH,,,,133,False
0.5,AS,36733,End-Customer,Enterprise,,other,53,Quotation or purchase consultation,etc.,,,other,LGEPH,,,,46,False
0.5,AS,3950,End-Customer,Enterprise,,other,260,Quotation or purchase consultation,etc.,,,other,LGEPH,,,,28,False
0.5,AS,15825,Specifier/ Influencer,SMB,,sales,487,Quotation or purchase consultation,etc.,,,other,LGEPH,,,,83,False
0.5,AS,23974,End-Customer,Enterprise,5.0,marketing,146,Quotation or purchase consultation,rac,,,other,LGEPH,,,,83,False
0.5,AS,907,Specifier/ Influencer,Enterprise,,program and project management,428,Quotation or purchase consultation,multi-split,,,other,LGEPH,,,,15,False
0.75,AS,27738,Specifier/ Influencer,SMB,0.0,engineering,19,Sales Inquiry,vrf,,,other,LGEPH,9 months ~ 1 year,,,29,False
0.75,AS,36061,Specifier/ Influencer,Enterprise,,engineering,4,Sales Inquiry,,,,other,LGEPH,less than 3 months,,,29,False
0.75,AS,25686,Specifier/ Influencer,Enterprise,,engineering,7,Sales Inquiry,single-split,,,other,LGEPH,6 months ~ 9 months,,,16,False
0.75,AS,25686,Specifier/ Influencer,Enterprise,,engineering,7,Sales Inquiry,single-split,,,other,LGEPH,6 months ~ 9 months,,,16,False
0.75,AS,29055,Specifier/ Influencer,Enterprise,,engineering,18,Sales Inquiry,,,,other,LGEPH,6 months ~ 9 months,,,16,False
0.75,AS,29055,Specifier/ Influencer,Enterprise,,engineering,18,Sales Inquiry,,,,other,LGEPH,6 months ~ 9 months,,,16,False
0.5,AS,37515,End-Customer,SMB,,entrepreneurship,3,Quotation or purchase consultation,vrf,,,director,LGEPH,,,,59,False
0.5,AS,42468,End-Customer,Enterprise,,healthcare services,38,Quotation or purchase consultation,multi-split,,,director,LGEPH,,,,666,False
0.75,AS,7249,End-Customer,Enterprise,,business development,58,Quotation or purchase consultation,vrf,,,director,LGEPH,less than 3 months,,,29,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,90,Quotation or purchase consultation,rac,,,none,LGEPH,,,,29,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,128,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,29,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,44,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,83,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,43,Quotation or purchase consultation,rac,,,none,LGEPH,,,,46,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,37,Quotation or purchase consultation,etc.,,,none,LGEPH,,,,46,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,83,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,133,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,51,Quotation or purchase consultation,vrf,,,none,LGEPH,,,,46,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,253,Quotation or purchase consultation,etc.,,,none,LGEPH,,,,599,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,197,Quotation or purchase consultation,rac,,,none,LGEPH,,,,46,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,161,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,46,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,90,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,16,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,90,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,0,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,111,Quotation or purchase consultation,rac,,,none,LGEPH,,,,0,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,84,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,29,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,95,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,16,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,41,Quotation or purchase consultation,etc.,,,none,LGEPH,,,,16,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,21,Quotation or purchase consultation,rac,,,none,LGEPH,,,,16,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,251,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,16,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,124,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,16,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,58,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,16,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,30,Quotation or purchase consultation,etc.,,,none,LGEPH,,,,16,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,36,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,16,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,5,Quotation or purchase consultation,rac,,,none,LGEPH,,,,16,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,61,Quotation or purchase consultation,rac,,,none,LGEPH,,,,16,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,132,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,16,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,35,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,16,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,25,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,16,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,204,Quotation or purchase consultation,rac,,,none,LGEPH,,,,16,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,120,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,16,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,93,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,16,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,204,Quotation or purchase consultation,rac,,,none,LGEPH,,,,16,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,32,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,46,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,43,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,46,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,43,Quotation or purchase consultation,rac,,,none,LGEPH,,,,46,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,65,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,46,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,16,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,46,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,2,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,599,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,43,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,46,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,23,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,46,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,26,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,666,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,93,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,46,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,9,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,46,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,43,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,83,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,82,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,46,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,68,Quotation or purchase consultation,rac,,,none,LGEPH,,,,83,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,23,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,666,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,48,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,46,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,100,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,599,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,171,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,83,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,145,Quotation or purchase consultation,rac,,,none,LGEPH,,,,133,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,172,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,133,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,27,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,46,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,103,Quotation or purchase consultation,etc.,,,none,LGEPH,,,,133,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,73,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,46,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,42,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,15,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,159,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,15,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,116,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,84,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,107,Quotation or purchase consultation,rac,,,none,LGEPH,,,,666,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,80,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,47,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,190,Quotation or purchase consultation,vrf,,,none,LGEPH,,,,15,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,128,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,47,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,31,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,1,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,59,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,59,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,47,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,84,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,191,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,47,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,106,Quotation or purchase consultation,rac,,,none,LGEPH,,,,121,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,69,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,83,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,53,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,83,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,136,Quotation or purchase consultation,rac,,,none,LGEPH,,,,0,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,23,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,0,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,93,Quotation or purchase consultation,single-split,,,none,LGEPH,,,,0,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,64,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,15,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,25,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,133,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,52,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,0,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,25,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,0,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,121,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,83,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,227,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,133,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,285,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,133,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,4,Quotation or purchase consultation,single-split,,,none,LGEPH,,,,83,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,58,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,47,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,80,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,121,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,9,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,599,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,61,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,29,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,62,Quotation or purchase consultation,vrf,,,none,LGEPH,,,,29,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,91,Quotation or purchase consultation,rac,,,none,LGEPH,,,,84,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,62,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,133,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,55,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,83,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,111,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,667,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,62,Quotation or purchase consultation,rac,,,none,LGEPH,,,,667,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,107,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,46,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,103,Quotation or purchase consultation,rac,,,none,LGEPH,,,,599,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,52,Quotation or purchase consultation,rac,,,none,LGEPH,,,,46,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,35,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,29,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,198,Quotation or purchase consultation,rac,,,none,LGEPH,,,,29,False
0.5,AS,26996,Specifier/ Influencer,SMB,1.0,,27,Sales Inquiry,,,,none,LGEPH,9 months ~ 1 year,,,16,False
0.5,AS,25558,Specifier/ Influencer,Enterprise,,,12,Sales Inquiry,multi-split,,,none,LGEPH,less than 3 months,,,0,False
0.5,AS,32753,Specifier/ Influencer,Enterprise,,,48,Sales Inquiry,multi-split,,,none,LGEPH,less than 3 months,,,29,False
0.5,AS,18344,End-Customer,Enterprise,,,22,Sales Inquiry,,,,none,LGEPH,less than 3 months,,,16,False
0.5,AS,32753,Specifier/ Influencer,Enterprise,,,48,Sales Inquiry,multi-split,,,none,LGEPH,less than 3 months,,,16,False
0.5,AS,30322,Homeowner,Enterprise,,,79,Sales Inquiry,multi-split,,,none,LGEPH,less than 3 months,,,29,False
0.5,AS,47466,Specifier/ Influencer,Enterprise,115.0,,32,Sales Inquiry,single split,,,none,LGEPH,more than a year,,,46,False
0.5,AS,33782,Specifier/ Influencer,Enterprise,,,10,Sales Inquiry,,,,none,LGEPH,3 months ~ 6 months,,,83,False
0.5,AS,17534,Specifier/ Influencer,SMB,,,4,Sales Inquiry,,,,none,LGEPH,3 months ~ 6 months,,,29,False
0.5,AS,11599,End-Customer,SMB,,,48,Sales Inquiry,,,,none,LGEPH,3 months ~ 6 months,,,16,False
0.5,AS,44431,Specifier/ Influencer,Enterprise,,,31,Sales Inquiry,vrf,,,none,LGEPH,3 months ~ 6 months,,,46,False
0.5,AS,27708,End-Customer,Enterprise,,,32,Sales Inquiry,,,,none,LGEPH,6 months ~ 9 months,,,29,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,74,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,0,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,74,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,29,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,107,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,46,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,128,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,46,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,77,Quotation or purchase consultation,rac,,,none,LGEPH,,,,46,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,233,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,46,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,62,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,0,False
0.25,AS,47466,End-Customer,Enterprise,115.0,,241,Quotation or purchase consultation,vrf,,,none,LGEPH,,,,47,False
0.5,AS,37515,End-Customer,SMB,,sales,2,Quotation or purchase consultation,single-split,,,c-level executive,LGEPH,,,,59,False
0.5,AS,39124,End-Customer,SMB,,engineering,5,Sales Inquiry,vrf,,,c-level executive,LGEPH,,,,29,False
0.5,AS,21108,End-Customer,Enterprise,,marketing,416,Other,etc.,,,c-level executive,LGEPH,,,,29,False
0.5,AS,27510,Specifier/ Influencer,Enterprise,,engineering,2,Quotation or purchase consultation,vrf,,,vice president,LGEPH,,,,28,False
0.5,AS,13223,End-Customer,Enterprise,,business development,4,Quotation or purchase consultation,vrf,,,vice president,LGEPH,,,,61,False
0.5,AS,11728,Specifier/ Influencer,Enterprise,1.0,operations,3,Quotation or purchase consultation,vrf,,,vice president,LGEPH,,,,84,False
0.5,AS,16370,End-Customer,Enterprise,,engineering,3,Sales Inquiry,vrf,,,vice president,LGEPH,,,,29,False
0.5,AS,34766,Specifier/ Influencer,Enterprise,,engineering,33,Quotation or purchase consultation,rac,,,vice president,LGEPH,,,,61,False
0.5,AS,41115,Specifier/ Influencer,Enterprise,,engineering,5,Quotation or purchase consultation,vrf,,,partner,LGEPH,,,,8,False
0.5,AS,32040,Specifier/ Influencer,Enterprise,,engineering,43,Quotation or purchase consultation,vrf,,,partner,LGEPH,,,,8,False
0.5,AS,41868,Specifier/ Influencer,Enterprise,,program and project management,31,Quotation or purchase consultation,multi-split,,,partner,LGEPH,,,,8,False
0.5,AS,3215,End-Customer,Enterprise,41.0,human resources,2,Quotation or purchase consultation,vrf,,,partner,LGEPH,,,,668,False
0.5,AS,43017,Specifier/ Influencer,Enterprise,,engineering,24,Sales Inquiry,vrf,,,partner,LGEPH,,,,0,False
0.5,AS,46826,End-Customer,Enterprise,,engineering,17,Sales Inquiry,single-split,,,partner,LGEPH,,,,29,False
0.5,AS,39115,Specifier/ Influencer,Enterprise,,engineering,14,Sales Inquiry,single-split,,,partner,LGEPH,,,,29,False
0.5,AS,39543,End-Customer,SMB,,administrative,42,Sales Inquiry,vrf,,,partner,LGEPH,,,,29,False
0.75,AS,28962,End-Customer,Enterprise,,entrepreneurship,75,Quotation or purchase consultation,multi-split,,,partner,LGEPH,less than 3 months,,,59,False
0.5,AS,43220,Specifier/ Influencer,Enterprise,2.0,sales,4,Quotation or purchase consultation,vrf,,,trainee,LGEPH,,,,75,False
0.5,AS,17310,Specifier/ Influencer,Enterprise,,consulting,17,Quotation or purchase consultation,multi v5 vrf,,,manager,LGEEF,,,,62,False
0.5,AS,25582,Specifier/ Influencer,SMB,1.0,engineering,18,Quotation or purchase consultation,ahu,,,associate/analyst,LGEEF,,,,62,False
0.5,AS,25582,Specifier/ Influencer,SMB,1.0,engineering,61,Quotation or purchase consultation,multi v5 vrf,,,associate/analyst,LGEEF,,,,54,False
0.5,AS,20249,Specifier/ Influencer,SMB,53.0,engineering,3,Quotation or purchase consultation,multi v5 vrf,,,entry level,LGEEF,,,,62,False
0.5,AS,25582,Specifier/ Influencer,Enterprise,1.0,engineering,21,Quotation or purchase consultation,multi split,,,entry level,LGEEF,,,,62,False
0.5,AS,22388,Specifier/ Influencer,SMB,,consulting,93,Quotation or purchase consultation,rac,,,entry level,LGEEF,,,,54,False
0.5,AS,13193,Specifier/ Influencer,Enterprise,,engineering,25,Quotation or purchase consultation,multi v5 vrf,,,other,LGEEF,,,,62,False
0.25,AS,47466,End-Customer,Enterprise,3.0,,327,Quotation or purchase consultation,multi-split,,,none,LGEEF,,,,62,False
0.25,AS,47466,End-Customer,Enterprise,3.0,,26,Quotation or purchase consultation,etc.,,,none,LGEEF,,,,62,False
0.25,AS,47466,End-Customer,Enterprise,3.0,,47,Quotation or purchase consultation,multi-split,,,none,LGEEF,,,,62,False
0.5,AS,20248,Specifier/ Influencer,Enterprise,7.0,engineering,3,Quotation or purchase consultation,multi v5 vrf,,,intern,LGEEF,,,,62,False
0.5,AS,11087,End-Customer,Enterprise,,engineering,50,Quotation or purchase consultation,vrf,,,ceo/founder,LGEIN,,,,617,False
0.5,AS,33957,End-Customer,Enterprise,0.0,other,36,Quotation or purchase consultation,vrf,,,manager,LGEIN,,,,670,False
0.5,AS,11129,Specifier/ Influencer,Enterprise,,consulting,28,Quotation or purchase consultation,vrf,,,manager,LGEIN,,,,617,False
0.5,AS,34043,Specifier/ Influencer,Enterprise,,engineering,12,Quotation or purchase consultation,vrf,,,other,LGEIN,,,,670,False
0.5,AS,34042,End-Customer,SMB,,information technology,155,Quotation or purchase consultation,vrf,,,director,LGEIN,,,,658,False
0.5,AS,20883,End-Customer,SMB,,engineering,15,Quotation or purchase consultation,multi-split,,,ceo/founder,LGEIL,,,,21,False
0.5,AS,34417,End-Customer,Enterprise,,education,33,Quotation or purchase consultation,vrf,,,ceo/founder,LGEIL,,,,22,False
0.5,AS,23808,End-Customer,Enterprise,,purchasing,90,Quotation or purchase consultation,rac,,,ceo/founder,LGEIL,,,,9,False
0.5,AS,41034,Specifier/ Influencer,Enterprise,,administrative,15,Quotation or purchase consultation,rac,,,ceo/founder,LGEIL,,,,77,False
0.5,AS,2468,Specifier/ Influencer,Enterprise,,administrative,165,Quotation or purchase consultation,rac,,,ceo/founder,LGEIL,,,,123,False
0.5,AS,44897,End-Customer,Enterprise,,administrative,97,Quotation or purchase consultation,etc.,,,ceo/founder,LGEIL,,,,48,False
0.5,AS,4434,End-Customer,Enterprise,,other,30,Quotation or purchase consultation,etc.,,,ceo/founder,LGEIL,,,,37,False
0.5,AS,4445,End-Customer,Enterprise,,sales,33,Quotation or purchase consultation,vrf,,,ceo/founder,LGEIL,,,,128,False
0.5,AS,2379,End-Customer,Enterprise,,business development,43,Quotation or purchase consultation,vrf,,,ceo/founder,LGEIL,,,,95,False
0.5,AS,18125,End-Customer,SMB,2.0,operations,78,Quotation or purchase consultation,single-split,,,ceo/founder,LGEIL,,,,48,False
0.5,AS,3216,Specifier/ Influencer,Enterprise,,consulting,28,Quotation or purchase consultation,etc.,,,ceo/founder,LGEIL,,,,49,False
0.5,AS,33288,End-Customer,SMB,,arts and design,58,Quotation or purchase consultation,vrf,,,ceo/founder,LGEIL,,,,95,False
0.75,AS,660,End-Customer,SMB,,business development,41,Quotation or purchase consultation,single-split,,,ceo/founder,LGEIL,less than 3 months,,,49,False
0.75,AS,34506,End-Customer,SMB,,real estate,23,Quotation or purchase consultation,vrf,,,ceo/founder,LGEIL,less than 3 months,,,600,False
0.75,AS,29374,End-Customer,Enterprise,,other,49,Quotation or purchase consultation,multi-split,,,ceo/founder,LGEIL,more than a year,,,37,False
0.5,AS,2692,End-Customer,Enterprise,48.0,sales,104,Quotation or purchase consultation,vrf,,,ceo/founder,LGEIL,,,,672,False
0.5,AS,29676,End-Customer,SMB,,engineering,101,Quotation or Purchase Consultation,multi-split,,,manager,LGEIL,,,,36,False
0.5,AS,20843,End-Customer,SMB,,engineering,119,Quotation or purchase consultation,etc.,,,manager,LGEIL,,,,37,False
0.5,AS,995,End-Customer,Enterprise,,education,14,Quotation or purchase consultation,multi-split,,,manager,LGEIL,,,,90,False
